Tsat (K)	Psat (bar)
9.5	1.25111508513
9.5	1.27406871806
9.5	1.27564046298
9.5	1.2647849342
9.5	1.26292689363
9.5	1.25343424271
9.5	1.25073996854
9.5	1.26932575585
10.5	2.51950155429
10.5	2.49460990029
10.5	2.51628957843
10.5	2.49950323071
10.5	2.49943889429
10.5	2.491562266
10.5	2.48965734857
10.5	2.50331707929
11.5	4.461085836
11.5	4.465883939
11.5	4.38322160086
11.5	4.42454030914
11.5	4.45210580371
11.5	4.44048091386
11.5	4.477626977
11.5	4.39705937086
12.0	5.78415956257
12.0	5.77831839014
12.0	5.81768137786
12.0	5.63485661843
12.0	5.70929126457
12.0	5.74224399
12.0	5.759229915
12.0	5.64869518957
12.5	7.21781025486
12.5	7.25588864286
12.5	7.33974596257
12.5	7.17491894371
12.5	7.12814507286
12.5	7.28505178571
12.5	7.05525212171
12.5	7.15780628214
