Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
9.5	265.381161086	7.17140279586
9.5	265.744667086	7.34268384629
9.5	265.763744145	7.36029270457
9.5	265.756702814	7.271961686
9.5	265.610833329	7.26501979471
9.5	265.666738657	7.25905075729
9.5	265.444669248	7.14291034056
9.5	265.792325404	7.32348022407
10.5	246.346197729	14.3195305386
10.5	246.2361853	14.1249514557
10.5	246.4277303	14.2675416607
10.5	246.039140243	14.2883617143
10.5	246.129650314	14.1199636029
10.5	246.321792257	14.14382517
10.5	245.781215686	14.0340168557
10.5	246.2705062	14.3001213171
11.5	222.462153943	26.3105868814
11.5	222.369067814	26.3723856871
11.5	222.124833886	25.7985358143
11.5	222.32666	25.9619812443
11.5	222.758878657	26.3954450586
11.5	222.403438386	25.9784466857
11.5	222.522369214	26.3732758629
11.5	221.968440114	25.8687865086
12.0	208.253743357	36.2089057214
12.0	207.8380042	35.65173404
12.0	207.478141586	34.9760900829
12.0	207.563306657	35.00337816
12.0	207.603037571	35.2197741214
12.0	207.948038614	35.5624778143
12.0	208.409219357	36.0763317914
12.0	207.703421457	35.4992760729
12.5	187.225799514	48.1505509671
12.5	186.876778271	47.4300945757
12.5	188.021064943	49.3940970429
12.5	188.483292029	49.4484896329
12.5	188.2497614	49.19655662
12.5	188.934090643	49.4634572229
12.5	186.087985743	47.4518631214
12.5	188.173670657	48.6450194386
