Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
7.0	305.558219657	0.632779539929
7.0	305.360698257	0.6401365902
7.0	305.322361443	0.575924377943
7.0	305.589272414	0.658169385857
8.0	290.522702157	2.08574182029
8.0	290.420330614	2.01218972729
8.0	290.565888	2.05120678586
8.0	290.4110853	1.98749909386
9.0	274.128788629	4.83869955757
9.0	274.103966243	4.93037075586
9.0	274.281620229	4.859136278
9.0	274.367400329	4.94236032114
10.0	256.392658657	10.3753082369
10.0	256.641039786	10.3707153801
10.0	256.014219786	10.0810768161
10.0	256.120846743	10.0648475313
11.0	235.395789729	19.3891785971
11.0	235.003066186	19.3714783471
11.0	234.898086257	19.4167147586
11.0	234.925738143	19.1675048371
