Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
9.0	275.7204979809437	5.39999234777677
9.0	275.1001256359447	5.071951150184332
9.0	274.90505397005444	5.191373508030853
9.0	275.09530140092164	5.016423031981567
9.5	265.7943959507042	7.388528093617957
9.5	265.85024224307415	7.3335746335120655
9.5	265.6338824039321	7.372494548480787
9.5	265.938423631162	7.355866388556337
10.0	256.1899468181818	10.631446062203112
10.0	256.2330970720721	10.52912960917281
10.0	255.96874482800982	10.600532302170354
10.0	256.01228647010646	10.383727890745291
10.5	244.83428151492535	14.141342380597015
10.5	244.9970990530582	14.632861360759028
10.5	245.44757570149255	14.895963357462685
10.5	245.49784807835823	14.754432277238806
11.0	233.91641395476353	19.922247931802602
11.0	233.53270830542533	20.356226951105157
11.0	233.60677692230408	20.3202316664434
11.0	233.66288770019216	20.109505675528506
11.5	220.76386371016235	27.96105524624173
11.5	220.7358938214071	27.85773625045099
11.5	220.41316773601926	27.692641645219485
11.5	220.30868682200844	27.434663423631992
12.0	204.84036205675676	37.93690317864865
12.0	204.8765115864865	37.33570801567568
12.0	205.26596409983634	38.44071869012548
12.0	205.06831069285323	37.886293740589196
12.5	180.8968951655202	51.68797879191745
12.5	181.44112022833974	51.74758589223219
12.5	184.76561123646601	53.134271673451714
12.5	183.74365503897792	52.356700978995235
