Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
9.5	265.19565348	7.4408988236
9.5	266.13116008	7.8054723116
9.5	265.97312824	7.8120006748
9.5	265.383119824	7.39341452007
10.5	244.508225473	15.2033063784
10.5	244.167790877	13.7751972807
10.5	244.684591149	14.9115533041
10.5	246.750613246	15.2633035351
11.5	220.879925139	26.7290995787
11.5	222.223953056	28.3072415926
11.5	220.273181759	27.8370128056
11.5	221.056633843	28.2342570556
12.0	202.078457	35.948125044
12.0	209.09563364	41.721658024
12.0	203.47856764	36.164935212
12.0	206.96942344	43.53607768
12.5	181.620799275	47.0877258886
12.5	180.581562876	47.9122997565
12.5	184.766391166	49.4770760415
12.5	182.685612383	53.043578487
