Tsat (K)	rho_liq (kg/m3)	rho_vap (kg/m3)
7.0	306.994958125	0.708341699375
7.0	308.252926125	0.706052753
7.0	308.757112125	0.7176099735
7.0	306.00064125	0.65243124
8.0	292.184673596	1.94770819298
8.0	292.420306316	1.99292465351
8.0	293.12793614	1.76434587982
8.0	291.826291842	2.12339171228
9.0	274.974498581	4.84523393649
9.0	277.551697027	5.41459083041
9.0	274.811277095	4.7842228973
9.0	275.684114527	4.5349993777
10.0	256.218010694	10.2449752917
10.0	255.508710926	10.9008190907
10.0	255.998632546	11.0660606162
10.0	257.15265412	11.0025326134
11.0	232.614194718	18.8328667887
11.0	234.826977782	20.7334841303
11.0	233.308421069	20.0853161981
11.0	234.362370951	19.7029526514
