Tsat (K)	Psat (bar)
7.0	0.10089728345
7.0	0.100285648725
7.0	0.102400308275
7.0	0.0928961809
8.0	0.308633443947
8.0	0.3167777
8.0	0.281980025263
8.0	0.335357276754
9.0	0.825444653716
9.0	0.91980887723
9.0	0.81883066027
9.0	0.781997374257
9.5	1.24812155165
9.5	1.32495176978
9.5	1.29945858176
9.5	1.29788409451
10.0	1.79469757824
10.0	1.87469314259
10.0	1.91860638102
10.0	1.90384775093
10.5	2.8298565296
10.5	2.5871092004
10.5	2.7229119732
10.5	2.4441456056
11.0	3.31300327007
11.0	3.51972575
11.0	3.4477650239
11.0	3.43044480423
11.5	4.61893596477
11.5	4.50092721606
11.5	4.49263350078
11.5	4.55409594404
12.0	6.01062467115
12.0	5.9542031848
12.0	6.01559671013
12.0	6.06078109934
12.5	7.37400621455
12.5	7.62357192277
12.5	7.56953316413
12.5	7.43885042743
