# distances in bohr
# energies in kelvin (1 hartree = 315775.13 K)
#
# R      V_ub           V_BO         sigma_BO
 1.00  286413.36      286412.68       0.57    
 1.17  204053.9       204051.7        1.8     
 1.33  147823.36      147822.51       0.72    
 1.50  104313.44      104313.29       0.12    
 1.67   73149.33       73149.03       0.25    
 1.83   52101.73       52101.59       0.11    
 2.00   36142.324      36142.292      0.027   
 2.17   24941.929      24941.867      0.053   
 2.33   17509.298      17509.265      0.028   
 2.50   11960.887      11960.875      0.010   
 2.67    8125.020       8125.004      0.014   
 2.83    5615.2324      5615.2219     0.0088  
 3.00    3767.7386      3767.7341     0.0038  
 3.17    2509.2869      2509.2814     0.0047  
 3.33    1698.2367      1698.2329     0.0033  
 3.50    1110.6587      1110.6568     0.0016  
 3.67     717.4947       717.4927     0.0017  
 3.83     468.9008       468.8989     0.0017  
 4.00     292.58303      292.58201    0.00086 
 4.17     177.52924      177.52815    0.00091 
 4.33     106.84221      106.84118    0.00086 
 4.50      58.40524       58.40468    0.00048 
 4.67      28.18126       28.18067    0.00050 
 4.83      10.64338       10.64270    0.00057 
 5.00      -0.47072       -0.47114    0.00036 
 5.10      -4.55160       -4.55199    0.00032 
 5.20      -7.34318       -7.34350    0.00027 
 5.30      -9.16446       -9.16471    0.00021 
 5.40     -10.26177      -10.26199    0.00019 
 5.50     -10.82507      -10.82537    0.00025 
 5.60     -11.00048      -11.00072    0.00020 
 5.73     -10.82806      -10.82827    0.00018 
 5.87     -10.32055      -10.32081    0.00022 
 6.00      -9.68060       -9.68079    0.00016 
 6.17      -8.73447       -8.73464    0.00014 
 6.33      -7.82261       -7.82283    0.00018 
 6.50      -6.89299       -6.89314    0.00013 
 6.67      -6.03610       -6.03622    0.00010 
 6.83      -5.30863       -5.30880    0.00014 
 7.00      -4.62248       -4.62260    0.00010 
 7.33      -3.52881       -3.52892    0.00009 
 7.67      -2.68068       -2.68084    0.00013 
 8.00      -2.06670       -2.06678    0.00007 
 8.33      -1.60639       -1.60647    0.00006 
 8.67      -1.25053       -1.25063    0.00008 
 9.00      -0.98964       -0.98971    0.00006 
10.00                     -0.51259    0.00007 
12.00                     -0.16592    0.00002 
