# distances in bohr
# energies in kelvin (1 hartree = 315775.13 K)
#
# R       V_AD          sigma_AD
 1.00   159.05           0.44        
 1.17    92.442          0.126       
 1.33    57.342          0.056       
 1.50    36.451          0.031       
 1.67    24.2606         0.0180      
 1.83    16.9900         0.0109      
 2.00    11.8177         0.0062      
 2.17     8.2756         0.0035      
 2.33     5.92230        0.00237     
 2.50     4.13823        0.00192     
 2.67     2.87520        0.00179     
 2.83     2.02655        0.00167     
 3.00     1.38470        0.00147     
 3.17     0.93555        0.00119     
 3.33     0.63902        0.00090     
 3.50     0.41964        0.00061     
 3.67     0.27019        0.00039     
 3.83     0.174410       0.000258    
 4.00     0.105847       0.000166    
 4.17     0.060893       0.000104    
 4.33     0.033308       0.000063    
 4.50     0.014577       0.000031    
 4.67     0.0031374      0.0000097   
 4.83    -0.0032403      0.0000027   
 5.00    -0.0069916      0.0000098   
 5.10    -0.0082157      0.0000118   
 5.20    -0.0089298      0.0000126   
 5.30    -0.0092650      0.0000126   
 5.40    -0.0093233      0.0000120   
 5.50    -0.0091832      0.0000110   
 5.60    -0.0089048      0.0000097   
 5.73    -0.0084102      0.0000079   
 5.87    -0.0077849      0.0000060   
 6.00    -0.0071702      0.0000043   
 6.17    -0.00637029     0.00000226  
 6.33    -0.00565543     0.00000071  
 6.50    -0.00495704     0.00000057  
 6.67    -0.00433015     0.00000148  
 6.83    -0.00380632     0.00000205  
 7.00    -0.00331678     0.00000238  
 7.33    -0.00254168     0.00000247  
 7.67    -0.00194163     0.00000216  
 8.00    -0.00150569     0.00000175  
 8.33    -0.00117710     0.00000136  
 8.67    -0.00092149     0.00000102  
 9.00    -0.00073282     0.00000077  
10.00    -0.00038406     0.00000032  
11.00    -0.000214418    0.000000153 
12.00    -0.000126150    0.000000088 
14.00    -0.000049457    0.000000035 
16.00    -0.0000220353   0.0000000153
18.00    -0.0000108163   0.0000000073
22.00    -0.0000032254   0.0000000020
26.00    -0.0000011797   0.0000000007
30.00    -0.0000004988   0.0000000002


# R       V_REL         sigma_REL
 1.00    -9.6766         0.0065      
 1.17    -9.3347         0.0032      
 1.33    -8.3486         0.0022      
 1.50    -6.8497         0.0026      
 1.67    -5.2931         0.0031      
 1.83    -3.9907         0.0032      
 2.00    -2.8609         0.0031      
 2.17    -1.99290        0.00278     
 2.33    -1.38353        0.00259     
 2.50    -0.91341        0.00260     
 2.67    -0.58354        0.00268     
 2.83    -0.36812        0.00242     
 3.00    -0.21247        0.00168     
 3.17    -0.11063        0.00092     
 3.33    -0.04910        0.00052     
 3.50    -0.00854        0.00031     
 3.67     0.015020       0.000211    
 3.83     0.027105       0.000209    
 4.00     0.033219       0.000213    
 4.17     0.035072       0.000156    
 4.33     0.034482       0.000099    
 4.50     0.032461       0.000061    
 4.67     0.029737       0.000040    
 4.83     0.0269492      0.0000300   
 5.00     0.0240122      0.0000245   
 5.10     0.0223596      0.0000223   
 5.20     0.0207854      0.0000205   
 5.30     0.0192995      0.0000191   
 5.40     0.0179068      0.0000177   
 5.50     0.0166086      0.0000164   
 5.60     0.0154035      0.0000151   
 5.73     0.0139708      0.0000136   
 5.87     0.0125870      0.0000120   
 6.00     0.0114376      0.0000107   
 6.17     0.0101117      0.0000092   
 6.33     0.0090259      0.0000080   
 6.50     0.0080215      0.0000069   
 6.67     0.0071499      0.0000059   
 6.83     0.0064337      0.0000051   
 7.00     0.0057676      0.0000044   
 7.33     0.0047037      0.0000032   
 7.67     0.00385370     0.00000229  
 8.00     0.00320651     0.00000164  
 8.33     0.00269120     0.00000117  
 8.67     0.00226535     0.00000082  
 9.00     0.00193056     0.00000060  
10.00     0.001235012    0.000000281 
11.00     0.000828200    0.000000158 
12.00     0.000576802    0.000000102 
14.00     0.000305518    0.000000051 
16.00     0.0001769330   0.0000000264
18.00     0.0001095520   0.0000000159
22.00     0.0000485958   0.0000000070
26.00     0.0000247661   0.0000000040
30.00     0.0000139212   0.0000000023


# R       V_QED     sigma_QED
 1.00     1.13007    0.00269 
 1.50     0.85432    0.00058 
 2.00     0.50922    0.00034 
 2.50     0.236025   0.000290
 3.00     0.093765   0.000219
 3.50     0.032241   0.000082
 4.00     0.008909   0.000049
 4.50     0.001086   0.000049
 5.00    -0.001058   0.000034
 5.30    -0.001349   0.000032
 5.60    -0.001351   0.000023
 6.00    -0.001196   0.000036
 6.50    -0.000953   0.000036
 7.00    -0.000742   0.000032
 8.00    -0.000463   0.000026
 9.00    -0.000316   0.000029
12.00    -0.000133   0.000026


# CG - Cowan-Griffin correction (sum of mass-velocity and one-electron Darwin)
# D1 - one-electron Darwin correction
# D2 - two-electron Darwin correction
# Br - Breit correction
#
# R         V_CG          sigma_CG            V_D1          sigma_D1            V_D2          sigma_D2            V_Br          sigma_Br
 1.00     -23.4162         0.0057            34.0869         0.0007             2.91492        0.00233           10.82460        0.00193     
 1.17     -20.76565        0.00260           29.6837         0.0018             2.48173        0.00115            8.94920        0.00141     
 1.33     -17.54639        0.00040           27.9853         0.0024             2.23153        0.00196            6.96625        0.00102     
 1.50     -13.94624        0.00158           25.5209         0.0040             1.96321        0.00191            5.13333        0.00089     
 1.67     -10.67753        0.00239           22.1923         0.0050             1.67395        0.00187            3.71050        0.00078     
 1.83      -8.10650        0.00267           18.7349         0.0057             1.40174        0.00169            2.71405        0.00071     
 2.00      -5.93694        0.00266           15.1589         0.0062             1.13252        0.00133            1.94357        0.00072     
 2.17      -4.28328        0.00250           11.9511         0.0066             0.89579        0.00096            1.39459        0.00075     
 2.33      -3.11482        0.00238            9.3727         0.0067             0.70668        0.00072            1.02461        0.00072     
 2.50      -2.19745        0.00245            7.1169         0.0066             0.54104        0.00057            0.74301        0.00066     
 2.67      -1.53514        0.00256            5.3220         0.0065             0.40851        0.00038            0.54310        0.00069     
 2.83      -1.08590        0.00228            3.9980         0.0063             0.309942       0.000175           0.40783        0.00079     
 3.00      -0.74485        0.00145            2.9139         0.0056             0.228410       0.000158           0.30397        0.00083     
 3.17      -0.50622        0.00059            2.0981         0.0042             0.166346       0.000096           0.22924        0.00070     
 3.33      -0.349014       0.000123           1.52364        0.00273            0.122153       0.000146           0.17776        0.00049     
 3.50      -0.232865       0.000107           1.07228        0.00144            0.087049       0.000187           0.137282       0.000222    
 3.67      -0.153624       0.000081           0.74551        0.00057            0.061338       0.000193           0.107307       0.000026    
 3.83      -0.102561       0.000084           0.523221       0.000238           0.043641       0.000159           0.086024       0.000107    
 4.00      -0.065594       0.000171           0.353984       0.000235           0.030001       0.000100           0.068812       0.000079    
 4.17      -0.040952       0.000144           0.235165       0.000289           0.020295       0.000052           0.0557291      0.0000280   
 4.33      -0.025525       0.000094           0.156709       0.000278           0.0137984      0.0000273          0.0462084      0.0000150   
 4.50      -0.014764       0.000056           0.098863       0.000224           0.0089419      0.0000147          0.0382835      0.0000182   
 4.67      -0.007911       0.000036           0.059756       0.000168           0.0056092      0.0000086          0.0320392      0.0000140   
 4.83      -0.0038363      0.0000270          0.035005       0.000131           0.0034657      0.0000084          0.0273198      0.0000101   
 5.00      -0.0011676      0.0000217          0.017626       0.000106           0.0019324      0.0000088          0.0232474      0.0000075   
 5.10      -0.0001481      0.0000193          0.010507       0.000097           0.0012924      0.0000089          0.0212153      0.0000066   
 5.20       0.0005786      0.0000174          0.005114       0.000089           0.0007996      0.0000090          0.0194073      0.0000061   
 5.30       0.0010820      0.0000158          0.001084       0.000082           0.0004239      0.0000089          0.0177936      0.0000058   
 5.40       0.0014165      0.0000143         -0.001874       0.000076           0.0001412      0.0000087          0.0163492      0.0000056   
 5.50       0.0016242      0.0000129         -0.003994       0.000070          -0.0000681      0.0000085          0.0150525      0.0000054   
 5.60       0.0017381      0.0000116         -0.005465       0.000065          -0.0002199      0.0000081          0.0138853      0.0000053   
 5.73       0.0017863      0.0000100         -0.006646       0.000058          -0.0003516      0.0000076          0.0125361      0.0000051   
 5.87       0.0017543      0.0000085         -0.007258       0.000051          -0.0004330      0.0000069          0.0112657      0.0000048   
 6.00       0.0016769      0.0000073         -0.007407       0.000045          -0.0004695      0.0000063          0.0102302      0.0000045   
 6.17       0.0015387      0.0000060         -0.007217       0.000039          -0.0004796      0.0000055          0.0090526      0.0000042   
 6.33       0.0013928      0.0000050         -0.006803       0.000033          -0.0004650      0.0000049          0.0080981      0.0000039   
 6.50       0.0012367      0.0000041         -0.0062386      0.0000279         -0.0004351      0.0000042          0.0072200      0.0000035   
 6.67       0.0010884      0.0000034         -0.0056282      0.0000234         -0.0003981      0.0000036          0.0064596      0.0000032   
 6.83       0.00096028     0.00000283        -0.0050568      0.0000197         -0.0003612      0.0000031          0.00583458     0.00000296  
 7.00       0.00083789     0.00000230        -0.0044802      0.0000162         -0.00032247     0.00000259         0.00525222     0.00000267  
 7.33       0.00064070     0.00000148        -0.0034981      0.0000108         -0.00025420     0.00000182         0.00431725     0.00000216  
 7.67       0.00048662     0.00000090        -0.0026920      0.0000068         -0.00019667     0.00000125         0.00356375     0.00000170  
 8.00       0.00037470     0.00000053        -0.0020884      0.0000041         -0.00015299     0.00000085         0.00298479     0.00000130  
 8.33       0.000290775    0.000000296       -0.00162733     0.00000241        -0.00011935     0.00000059         0.00251978     0.00000096  
 8.67       0.000225976    0.000000146       -0.00126714     0.00000134        -0.00009296     0.00000040         0.00213233     0.00000070  
 9.00       0.000178523    0.000000067       -0.00100167     0.00000073        -0.000073463    0.000000288        0.00182551     0.00000052  
10.00       0.000092039    0.000000039       -0.000515636    0.000000106       -0.000037750    0.000000122        0.001180723    0.000000250 
11.00       0.0000507769   0.0000000128      -0.0002838355   0.0000000116      -0.000020742    0.000000063        0.000798165    0.000000144 
12.00       0.0000296337   0.0000000231      -0.0001652490   0.0000000067      -0.000012059    0.000000036        0.000559227    0.000000093 
14.00       0.0000114875   0.0000000156      -0.0000638786   0.0000000038      -0.0000046526   0.0000000139       0.000298683    0.000000046 
16.00       0.0000050783   0.0000000027      -0.0000282203   0.0000000176      -0.0000020526   0.0000000055       0.0001739073   0.0000000257
18.00       0.0000024793   0.0000000017      -0.0000137657   0.0000000006      -0.0000010011   0.0000000025       0.0001080737   0.0000000156
22.00       0.0000007336   0.0000000014      -0.0000040741   0.0000000014      -0.0000002964   0.0000000009       0.0000481586   0.0000000068
26.00       0.0000002663   0.0000000018      -0.0000014827   0.0000000017      -0.0000001083   0.0000000005       0.0000246081   0.0000000035
30.00       0.0000001118   0.0000000012      -0.0000006247   0.0000000013      -0.0000000459   0.0000000006       0.0000138554   0.0000000019
